#Points,,Rep 1,Rep 2,Rep 3,Rep 4,Rep 5,Rep 6,Rep 7,Rep 8,Rep 9,Rep 10,Rep 11,Rep 12,Rep 13,Rep 14,Rep 15,Rep 16,Rep 17,Rep 18,Rep 19,Rep 20,Rep 21,Rep 22,Rep 23,Rep 24,Rep 25,Rep 26,Rep 27,Rep 28,Rep 29,Rep 30,Rep 31,Rep 32,Rep 33,Rep 34,Rep 35,Rep 36,Rep 37,Rep 38,Rep 39,Rep 40,Rep 41,Rep 42,Rep 43,Rep 44,Rep 45,Rep 46,Rep 47,Rep 48,Rep 49,Rep 50,Rep 51,Rep 52,Rep 53,Rep 54,Rep 55,Rep 56,Rep 57,Rep 58,Rep 59,Rep 60,Rep 61,Rep 62,Rep 63,Rep 64,Rep 65,Rep 66,Rep 67,Rep 68,Rep 69,Rep 70,Rep 71,Rep 72,Rep 73,Rep 74,Rep 75,Rep 76,Rep 77,Rep 78,Rep 79,Rep 80,Rep 81,Rep 82,Rep 83,Rep 84,Rep 85,Rep 86,Rep 87,Rep 88,Rep 89,Rep 90,Rep 91,Rep 92,Rep 93,Rep 94,Rep 95,Rep 96,Rep 97,Rep 98,Rep 99,Rep 100
10000,,62916,61379,59028,59106,59599,59717,58895,57994,64361,61488,63822,61052,63895,63353,62329,63886,60545,60832,59379,58034,58861,67041,64694,65517,61404,67195,65082,63249,65016,53774,54684,61048,59505,64063,55604,67536,66795,68622,65350,64823,63841,59870,64354,56333,66850,60488,57099,59617,61339,76646,70432,60824,65807,61168,58550,56254,63617,63690,55345,52985,65946,59582,72127,56069,57033,65796,53172,63997,62964,58167,60846,53836,61211,54630,65156,54658,53806,64609,57696,62364,66781,52969,56299,57216,52781,61587,59509,52424,61023,53628,49993,65977,58118,63709,49040,51042,60659,51980,56575,55387
100000,,72649,61012,59552,63795,60771,66031,61842,60739,63828,67241,63242,66469,69563,62756,67823,58302,64805,65100,61210,58362,58778,63347,65736,64406,59159,69321,62476,67274,62412,61459,61202,63412,63178,63524,62488,75496,63617,64836,66764,79446,59935,63034,63128,62443,62648,65289,58655,64361,62928,64236,64546,65176,64829,61089,62611,69569,66129,66583,58937,65800,63488,63307,64186,63219,60261,61525,63316,58120,70730,61919,61166,65802,62777,61699,59397,59673,66360,65071,59939,64459,65094,58995,60933,63130,59511,61088,61417,67064,67776,67132,56874,71769,63227,61353,70080,59756,63961,77925,63071,62738
1000000,,55850,58217,55246,58694,44589,53194,54867,52488,62226,75896,74012,72827,82057,70847,73644,75576,74223,74183,81115,69072,76922,73324,74340,74896,73050,76144,67389,71328,80515,78492,69784,75914,75516,76521,73589,77074,77896,73286,71790,70773,67842,73070,76798,80296,74472,76033,74245,72877,79347,84722,76724,74067,72860,73538,68625,76562,76261,73216,73270,76562,72797,72712,76686,80258,74180,86765,71051,72041,64823,77981,77093,76392,77053,71618,80962,71780,70143,75626,69342,73460,78168,76433,68167,79696,72907,75415,78627,68845,75793,77075,70321,70223,68444,72484,72091,75253,74623,71298,74169,71834
10000000,,66794,59590,60372,60736,54079,60354,60532,50059,58385,61381,57426,60224,61711,60143,53496,64595,58694,58787,53050,60320,63651,57042,58769,62122,57259,57304,43269,60598,63658,55179,59282,56511,59322,60964,56602,59849,60303,62280,53774,58868,61213,54574,59504,53404,75872,61797,63355,50626,57013,59758
