#Points,,Rep 1,Rep 2,Rep 3,Rep 4,Rep 5,Rep 6,Rep 7,Rep 8,Rep 9,Rep 10,Rep 11,Rep 12,Rep 13,Rep 14,Rep 15,Rep 16,Rep 17,Rep 18,Rep 19,Rep 20,Rep 21,Rep 22,Rep 23,Rep 24,Rep 25,Rep 26,Rep 27,Rep 28,Rep 29,Rep 30,Rep 31,Rep 32,Rep 33,Rep 34,Rep 35,Rep 36,Rep 37,Rep 38,Rep 39,Rep 40,Rep 41,Rep 42,Rep 43,Rep 44,Rep 45,Rep 46,Rep 47,Rep 48,Rep 49,Rep 50,Rep 51,Rep 52,Rep 53,Rep 54,Rep 55,Rep 56,Rep 57,Rep 58,Rep 59,Rep 60,Rep 61,Rep 62,Rep 63,Rep 64,Rep 65,Rep 66,Rep 67,Rep 68,Rep 69,Rep 70,Rep 71,Rep 72,Rep 73,Rep 74,Rep 75,Rep 76,Rep 77,Rep 78,Rep 79,Rep 80,Rep 81,Rep 82,Rep 83,Rep 84,Rep 85,Rep 86,Rep 87,Rep 88,Rep 89,Rep 90,Rep 91,Rep 92,Rep 93,Rep 94,Rep 95,Rep 96,Rep 97,Rep 98,Rep 99,Rep 100
1000000,,23267,16757,17277,17673,19931,24698,18406,14006,18345,16719,17323,20566,23220,13546,19443,28744,37567,23831,25476,15997,17354,19699,18074,14626,16373,19247,17054,16498,17694,17667,11600,21894,17689,17650,15937,17105,16989,16204,16464,19672,16923,18010,20110,22085,16926,16479,17646,25315,15985,17520,16832,17015,15142,17439,20944,14776,14866,16223,16629,14689,18352,16824,16370,20030,16931,16927,14729,24864,16290,15662,17557,16353,12832,16502,16462,15817,14953,17664,17870,20816,20258,15575,15035,17241,15728,14326,15938,12593,16828,16750,14194,18026,18318,15937,16659,18392,16773,24428,15939,21804
10000000,,60617,40258,57100,59578,60911,57502,47985,59979,51251,59014,60736,58625,60730,58827,59493,57960,59248,58989,47643,58219,59043,36684,46580,56658,59757,56851,58586,50420,57668,58952,60160,60196,56719,60106,49219,58158,59839,57081,57899,46770,51700,59219,58403,56402,61811,46335,57414,60250,57907,58792,46352,57465,61300,57888,60036,59939,49713,59020,46941,57009,49492,47183,59932,59695,59304,55737,58230,51849,60135,58305,59776,60868,58577,60099,52038,62838,59474,57604,59387,59535,58244,58636,58371,46463,58889,57176,57598,57215,60270,60399,59016,58786,40120,37711,48940,59997,42839,58665,60174
