#Points,,Rep 1,Rep 2,Rep 3,Rep 4,Rep 5,Rep 6,Rep 7,Rep 8,Rep 9,Rep 10,Rep 11,Rep 12,Rep 13,Rep 14,Rep 15,Rep 16,Rep 17,Rep 18,Rep 19,Rep 20,Rep 21,Rep 22,Rep 23,Rep 24,Rep 25,Rep 26,Rep 27,Rep 28,Rep 29,Rep 30,Rep 31,Rep 32,Rep 33,Rep 34,Rep 35,Rep 36,Rep 37,Rep 38,Rep 39,Rep 40,Rep 41,Rep 42,Rep 43,Rep 44,Rep 45,Rep 46,Rep 47,Rep 48,Rep 49,Rep 50,Rep 51,Rep 52,Rep 53,Rep 54,Rep 55,Rep 56,Rep 57,Rep 58,Rep 59,Rep 60,Rep 61,Rep 62,Rep 63,Rep 64,Rep 65,Rep 66,Rep 67,Rep 68,Rep 69,Rep 70,Rep 71,Rep 72,Rep 73,Rep 74,Rep 75,Rep 76,Rep 77,Rep 78,Rep 79,Rep 80,Rep 81,Rep 82,Rep 83,Rep 84,Rep 85,Rep 86,Rep 87,Rep 88,Rep 89,Rep 90,Rep 91,Rep 92,Rep 93,Rep 94,Rep 95,Rep 96,Rep 97,Rep 98,Rep 99,Rep 100
1000000,,720593,780843,800873,759283,773604,773696,828567,954060,924904,791978,805190,847541,811029,788990,819825,771838,845719,847115,781046,721655,725916,695285,812026,837137,679695,686822,775885,1022553,687074,774004,921447,796085,926310,769733,826943,713795,876660,770490,827270,787823,794802,790116,863171,763548,810331,760615,781096,803265,938897,686558,876335,753493,800579,786707,828314,819702,715771,776284,778751,771233,783496,838582,821401,762725,802712,749298,863809,790298,823660,802017,853374,739690,787884,823088,900862,704774,955123,880203,778806,816114,1065027,736820,714645,875289,784836,818065,808714,987914,749713,764914,904216,793944,829739,778297,793349,736948,810228,778067,950262,877107
10000000,,728532,738833,771882,772520,918442,739461,753395,892123,751330,962481,770217,764390,776040,772679,752964,768616,862876,911608,930360,902844,733560,746257,740832,983956,735519,772698,949447,776755,790315,746481,800746,751602,783758,938991,745508,768115,968285,766598,732675,741459,920248,798836,946791,758335,829061,731063,732838,740446,933522,734095,738729,894365,806674,731422,756433,960267,959842,964312,921247,908572,749524,968594,869396,923326,955056,959817,734477,960339,817430,753356,744413,723076,889473,944015,964206,846968,974259,736582,744325,664419,959455,754864,758662,962574,794321,764046,971180,729458,949794,833843,741829,769617,745267,753215,777856,771616,790453,964016,734686
